kb_id,kb_title,kb_category,chunk_excerpt,language,created_at
83d5f79b-3d30-492e-aca2-3a9ba6a97587,"إجراءات التحقيق",autre,"المستدعي يسكن خارج الجمهورية يكون الاجل 30 يوم. يتمّ تسليم الاستدعاء الي المستدعي نفسه ولاّ وكيله ولاّ شخص ساكن معاه بشرط انّو تكون عندو القدرة باش يفهم ويقدّر السياق. الشخص الّي تمّ استدعاؤ لازم يصححّ علي الاستدعاء وكان رفض ولاّ كان مش قادر باش يصحّح لازم يتّم التنصيص علي ذلك. استرداد الحقوق اجراء يمكن يتمتع بيه اي شخص محكوم عليه وبصفة فردية (علي عكس العفو) يترتب عليه محو العقوبات المحكوم بها واي حاجة ممكن تنجّر عليها (تحجير سفر ….) ويتّم التنصيص علي هذا في السجل العدلي. العقوبات الّي تم محوها ",AR,Wed Feb 11 2026 22:30:28 GMT+0100 (heure normale d’Europe centrale)
d8a9a91c-09f4-40c1-8bfb-e475e1cd2b81,"الأوراق التجارية",autre,"الاجل ان يقوم بطلب الاذن لتامين مبلغها علي نفقة الحامل. ب. موضوع الوفاء: موضوع الوفاء هو المقدار المالي الذي سيدفعه المدين بالكمبيالة لخلاص مبلغها ولايعتبر الوفاء تاما الا اذا شمل مبلغ الكمبيالة والفوائد المترتبة عنها والمصاريف الواقع دفعها لاستخلاص قيمتها وهي المصاريف التي بذلها الحامل بموجب تلك الورقة التجارية. ج. اثار الوفاء بالكمبيالة: اقتضت الفقرة الاخيرة من الفصل 296 م ت بان ""من يدفع عند الحلول برئت ذمته علي الوجه الصحيح الا اذا كان قد ارتكب تدليس او خطا فاحشا ويجب عليه ان يستوثق من صحة تس",AR,Wed Feb 11 2026 22:27:51 GMT+0100 (heure normale d’Europe centrale)
2f3496b1-2051-4ca4-8697-cb68402b3d03,"السجون التونسية بقلم الأستاذ خالد المؤدب – عدل اشهاد",autre,"random اخر الاخبار random جاري التحميل ... السجون التونسية بقلم الاستاذ خالد المؤدب - عدل اشهاد  الذخيرة القانونية  يونيو 21, 2021  الصفحة الرئيسية قسم العلوم الجنائية قسم القانون الخاص مقالات لقد اعتمد النظام العقابي القديم اساسا علي العقوبات البدنية كالقتل و الجلد و القطع، و كانت السجون مجرد اماكن يحجز فيها المتهم في انتظار تنفيذ العقوبة البدنية عليه. و بتطور السياسة العقابية وقع التخلص من العقوبات البدنية و استبدالها بالعقوبة السالبة للحرية (عقوبة السجن). في الوقت الحاضر جميع الانظمة العقا",AR,Wed Feb 11 2026 21:52:48 GMT+0100 (heure normale d’Europe centrale)
4a050ef4-404a-4bc6-8ae7-ebe9a834a449,"شروط الطّعن بالتماس إعادة النّظر : محل الطّعن بالتماس إعادة النّظر",autre,"التّحكيم الدّولي فانّ مجلّة التّحكيم قد سكتت عن الطّعن بالتماس اعادة النّظر ضدّ القرارات التّحكيميّة الصّادرة في مادّة التّجارة الدّوليّة. و يبدو انّ دعوة الاستاذ محمّد العربي هاشم للحفاظ علي الطّعن بالتماس اعادة النّظر لا تشمل فقط مادّة التّحكيم الدّاخلي بل ايضا التّحكيم الدّولي. و ما دمنا علي السّاحة الدوليّة، فانّه تجدر الاشارة فيما يخصّ هذه النّقطة الي ان القوانين المقارنة قد اختلفت في شانها فهناك من الانظمة القانونيّة من كرّس هذا الطّعن ضدّ القرارات التّحكيميّة الدّوليّة و هناك من رفض ذلك. ",AR,Wed Feb 11 2026 21:10:08 GMT+0100 (heure normale d’Europe centrale)
4b4893c1-eb90-423f-b441-4ccc8bd99db1,"شمعناها القضاء الكامل",autre,"random اخر الاخبار random جاري التحميل ... شمعناها القضاء الكامل  الذخيرة القانونية  سبتمبر 28, 2020  الصفحة الرئيسية شمعناها قسم القانون الخاص قسم طلبات الاعضاء تعريف القضاء الكامل: هو القضاء الذي يمارس فيه القاضي الاداري اوسع سلطاته اذ يجوز له ان يعدل اول يلغي قرار الادارة لا فقط لعدم الشرعية بل حتي لعدم ملائمته كما يكمن ان يحل قراره قرار الادارة و ان يقر التزامات علي عاتقها او ان يصيرها مدنية و يقضي بالتعويض لافراد. يشمل القضاء الكامل منازعات مختلف العقود التي تسير المرافق العامة و مختلف ا",AR,Wed Feb 11 2026 23:25:27 GMT+0100 (heure normale d’Europe centrale)
b7b62db0-1da5-4a2c-b8ea-67a34f3fc425,"طرق التنفيذ : الجزء الخامس : العقلة العقارية",autre,"random اخر الاخبار random جاري التحميل ... طرق التنفيذ : الجزء الخامس : العقلة العقارية  الذخيرة القانونية  يناير 02, 2021  الصفحة الرئيسية شمعناها قسم القانون الخاص قسم طلبات الاعضاء مناظرة عدول التنفيذ اهم خاصية تتميز بها هذه العقلة هي انها عقلة قضائية اي انها تتم من اول الي اخر اجراء فيها امام المحكمة. و المحكمة المختصة هنا هي دائرة البيوعات العقارية لدي المحكمة الابتدائية التي يقع بدائرتها العقار المعقول. و تتم اجراءات العقلة العقارية كما يلي: - مرحلة محضر العقلة (اجراء محضر). - مرحلة الا",AR,Wed Feb 11 2026 23:25:32 GMT+0100 (heure normale d’Europe centrale)
d387f287-3c95-400b-8d7a-0fd856dbf224,"1ére partie.doc",google_drive,"الثانية: اذا ثبت انّ قانون الدولة المطلوب منها التسليم كان يعاقب علي الفعل موضوع التسليم في تاريخ ارتكابه ثم صدر قانون يلغي نص التجريم قبل البت في طلب التسليم، يمكن للدولة المطلوب منها التسليم رفض طلب التسليم لانتفاء شرط ازدواج التجريم اذا لم ترد في نصوص الاتفاقيات شرط يخالف ذلك. والدولة المطلوب منها التسليم هي التي تملك وحدها حق التثبت من توفّر شرط الازدواج. ب- الحدّ الادني للعقاب: لطبيعة العقوبة دور اساسي فيما يتعلق بقبول او برفض طلب التسليم اذ يجب ان تكون هذه العقوبة التي ينص عليها القانون ال",AR,Thu Feb 12 2026 09:33:12 GMT+0100 (heure normale d’Europe centrale)
d387f287-3c95-400b-8d7a-0fd856dbf224,"1ére partie.doc",google_drive,"من الاتفاقيّة التونسيّة البرتغالية ""تمنح المساعدة ولو لم تكن الجريمة معاقبا عنها في قانون الدولة المطلوب اليها التسليم."" وقد تم انتقاد هذا المبدا باعتبار انّ الشخص قد يفلت من التتبّع والعقاب بما انّه لا يمكن تسليمه ولا تتبّعه من طرف قضاء الدولة الموجود فيها لانّه لا يجرّم الفعلة التي ارتكبها. هذا النقد قد لا يكون له اثر ملموس في الميدان العملي باعتبار انّ الاختلافات محدودة في القوانين الجزائية كما انّ اختلاف وصف الجريمة المطلوب من اجلها التسليم لا يقف حائلا دون الاستجابة لمطلب التسليم. وممّا تجد",AR,Thu Feb 12 2026 09:33:12 GMT+0100 (heure normale d’Europe centrale)
92d7f914-bf9e-43b0-9769-92aacbcc2ef6,"2ème partie.doc",google_drive,"332 م.ح.ع، فانها يمكن ان تكون اسبابا لطلب التعويض علي معني الفصل 337م.ح.ع بشرط ان يترتب عنها ضرر للغير يتسبب في الغاء حق عيني ثابت للمتضرر. كما يعتبر اخفاء طالب التسجيل او المستفيد منه حقا عينيا عقاريا موظفا علي العقار المحكوم بتسجيله وحتي مجرد السكوت عنه خطاً يبرر طلب التعويض، مثل اخفاء الوارث وصية مورثه المتعلقة بالعقار موضوع طلب التسجيل او عدم ذكر بعض الورثة او بعض الشركاء او عدم التصريح بالرهن او غيره من الحقوق العينية الاخري الموظفة علي العقار والتي يلغيها حكم التسجيل. كما يعد خطا تطهير الع",AR,Thu Feb 12 2026 15:48:51 GMT+0100 (heure normale d’Europe centrale)
92d7f914-bf9e-43b0-9769-92aacbcc2ef6,"2ème partie.doc",google_drive,"تحديد بداية مفعول التطهير في الزمن اثار جد خطيرة حيث انه بتحديد اللحظة الزمنية للتطهير يتحدّد اعتبار الحق او نفيه او اعدامه كليا اذ ان الحكم بالتسجيل اذا صدر علي الحالة التي عليها العقار يوم تقديم المطلب يختلف كل الاختلاف اذا صدر علي الحالة التي عليها العقار يوم صدور الحكم. حيث ان هناك مرحلة زمنية قد تطول بين تقديم المطلب او التصريح والحكم وقد يعقد خلالها العديد من الاتفاقيات والمعاملات التي يمكن ان تلغي اذا صدر التسجيل علي الحالة التي عليها العقار يوم صدور الحكم خلافا لما قد تصرّح به المحكمة من",AR,Thu Feb 12 2026 15:48:51 GMT+0100 (heure normale d’Europe centrale)
